"PAYOUT_tx.id","tx.time","tx.amount","tx.id","payin.addrs","tx.amount.cumsum","payout.threshold.reached.payin.number","payout.threshold.reached.payin.time","sort.id","PAYOUT_tx.time","PAYOUT_tx.amount","PAYOUT_payout.addrs","PAYOUT_tx.amount.cumsum","PAYOUT_tx.amount.scaled","PAYOUT_tx.amount.scaled.cumsum","payout.threshold.reached.payin.payout.time.diff","payout.threshold.reached.payin.payout.time.diff.hours"
"bf0aeb8ee59130ff576a4d42b3d96c49827c4e463645eb99ccc24d8563bf4df2",2021-05-26 11:40:42,5.46e-06,"21e02d771e94ffb2f533cf9d59d2d482f2cd74e2edce96f39f5871f01b7b9832","1KhoD4QoVkKRn9BUX9dDtuCw8i1nZEfn7s",5.46e-06,2,2021-05-26 11:52:36,1,2021-05-26 21:32:48,3.4e-05,"1KhoD4QoVkKRn9BUX9dDtuCw8i1nZEfn7s",5.086e-05,3.77777777777778e-05,5.65111111111111e-05,9.67,9.67
NA,2021-05-26 11:52:36,3e-05,"ef69462a04cbb2c954f9f96ac53ae5bd6489f337c91cb09ec0215d6baa85fb99","1KhoD4QoVkKRn9BUX9dDtuCw8i1nZEfn7s",3.546e-05,4,2021-05-26 19:16:45,2,NA,NA,NA,NA,NA,NA,NA,NA
"c6bc55056c57b4c6c60c8b934543de42df4f7e67a3be174dec0e908fb40b70d7",2021-05-26 12:19:38,2.048e-05,"d45156419ff59e4d77d567c5886bb522ef64ed447e67b70286f9b878b33aed31","1DcWMCZuy4T6HVGjkVgGbbqL1WfW68cjiF",5.594e-05,4,2021-05-26 19:16:45,3,2021-05-26 21:32:48,1.686e-05,"1DcWMCZuy4T6HVGjkVgGbbqL1WfW68cjiF",1.686e-05,1.87333333333333e-05,1.87333333333333e-05,2.2675,2.2675
"74d16487750c7dd9adce4c870537d1a7bd3030322cb3855116fd48fefaa127ca",2021-05-26 19:16:45,0.0001324,"37f3c4584cf025c8faaac264dcce06cdc77e1a3169a57b5b3f491842b5ea4242","127SZ8Ma1gjJJz3TcEX9KAdokwTyWNYAsT",0.00018834,5,2021-05-26 19:16:45,4,2021-05-26 21:32:48,0.00021832,"127SZ8Ma1gjJJz3TcEX9KAdokwTyWNYAsT",0.00026918,0.000242577777777778,0.000299088888888889,2.2675,2.2675
"85fa21e83b2bb49e9f9fa01f8e3b617e1e93e33e0530122966f60182af3b6b0d",2021-05-26 19:16:45,0.0026552,"cfc1d307807aee88d8a81015b63bedd0014a57df3e0e8426c5f9bb4b7d9e31f2","1Guw3GarQwuq5Z9mcwUFkwJTc2wh19CuX3",0.00284354,6,2021-05-26 19:18:47,5,2021-05-26 21:32:48,0.00475936,"1Guw3GarQwuq5Z9mcwUFkwJTc2wh19CuX3",0.00502854,0.00528817777777778,0.00558726666666667,2.23361111111111,2.23361111111111
"3ca87b8f0eccae974d09eb9e43f2b5c8ccb6d8834b7a5527d3b8c133bf363670",2021-05-26 19:18:47,0.0035927,"0a9d96414b15aae075861021328322eee8ce60d093d3b32957eea77f122256f5","1N3fixWaq8HN5aCxv1qNKEUhyv6XwDFNdZ",0.00643624,7,2021-05-26 19:21:57,6,2021-05-26 21:32:48,0.00644686,"1N3fixWaq8HN5aCxv1qNKEUhyv6XwDFNdZ",0.0114754,0.00716317777777778,0.0127504444444444,2.18083333333333,2.18083333333333
"c2e441a4a5a76100d72cd80289c87f2d447e604144b0418afc430036bf96c1cf",2021-05-26 19:21:57,0.01325853,"2fabead727ab61bc551ffd14b0262cf9b0f865bc524f5c0aa5cb5ab8be01c960","1CGsgcpGExuM5eLjYJMRyqnT3Hb5UJzQgR",0.01969477,13,2021-05-27 15:49:05,7,2021-05-27 19:55:18,0.02384535,"1CGsgcpGExuM5eLjYJMRyqnT3Hb5UJzQgR",0.04781897,0.0264948333333333,0.0531321888888889,4.10361111111111,4.10361111111111
"eb373e1f6302355880ad2078329a8fc803067acf42701d7236e5512694c2916d",2021-05-26 20:40:58,0.00133493,"5db025adacc278436708b8da67d6d8c06680091f18f44ead79b1b20d3333cf67","12eAFzH3uzPDGovQz8oj19E1YnvrUiAboX",0.0210297,13,2021-05-27 15:49:05,8,2021-05-27 19:55:18,0.00238287,"12eAFzH3uzPDGovQz8oj19E1YnvrUiAboX",0.01385827,0.00264763333333333,0.0153980777777778,4.10361111111111,4.10361111111111
"ef16cdc77195b0324ac029d6d65c2a7e1a67fc8516fc801e7d7d952d89e942b9",2021-05-26 21:32:48,0.00136256,"da54ebda38ae1da94e94f3ade83edb0b9e9e1d82c76b8862cb18f887bf9dbf4a","127SZ8Ma1gjJJz3TcEX9KAdokwTyWNYAsT|1D3gE6aLaDWhqEMRuCQapMzYc9a4VpCBnT",0.02239226,13,2021-05-27 15:49:05,9,2021-05-27 19:55:18,0.00243261,"1D3gE6aLaDWhqEMRuCQapMzYc9a4VpCBnT",0.01629088,0.0027029,0.0181009777777778,4.10361111111111,4.10361111111111
"2629a573ea23de9fc247a9b5da60e3a8aed4f5af5ed5a01c8fcbdf72e6d05bf3",2021-05-27 11:29:19,0.001,"46bbb0a0b031f7ea2b30e4086e548285014d2de4d59a5970fd446c01d7e4c805","1JbGFeyVm73LAr3NUjwyok7BtUk2jWuxEG",0.02339226,13,2021-05-27 15:49:05,10,2021-05-27 19:55:18,0.00178,"1JbGFeyVm73LAr3NUjwyok7BtUk2jWuxEG",0.02165088,0.00197777777777778,0.0240565333333333,4.10361111111111,4.10361111111111
